Entity,Code,Day,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Johnson&Johnson
Germany,DEU,2021-03-24,530468,2331011,9124405,0,0
Germany,DEU,2021-03-25,557200,2452363,9312517,0,0
Germany,DEU,2021-03-26,592760,2588344,9513783,0,0
Germany,DEU,2021-03-27,620120,2695185,9665392,0,0
Germany,DEU,2021-03-28,638646,2755216,9782877,0,0
Germany,DEU,2021-03-29,664339,2850054,9969969,0,0
Germany,DEU,2021-03-30,690404,2936092,10185034,0,0
Germany,DEU,2021-03-31,728237,2989758,10433773,0,0
Germany,DEU,2021-04-01,760208,3044941,10668435,0,0
Germany,DEU,2021-04-02,776727,3076830,10849615,0,0
Germany,DEU,2021-04-03,793798,3118079,11022955,0,0
Germany,DEU,2021-04-04,804913,3167725,11158264,0,0
Germany,DEU,2021-04-05,822832,3231157,11326309,0,0
Germany,DEU,2021-04-06,855991,3318251,11583826,0,0
Germany,DEU,2021-04-07,891657,3417877,12124668,0,0
Germany,DEU,2021-04-08,926780,3541876,12696000,0,0
Germany,DEU,2021-04-09,962233,3642074,13182004,0,0
Germany,DEU,2021-04-10,985427,3741604,13426840,0,0
Germany,DEU,2021-04-11,1003465,3816327,13593838,0,0
Germany,DEU,2021-04-12,1031928,3924428,13871904,0,0
Germany,DEU,2021-04-13,1058504,4039729,14300027,0,0
Germany,DEU,2021-04-14,1091609,4162841,14916084,0,0
Germany,DEU,2021-04-15,1127654,4272735,15445912,0,0
Germany,DEU,2021-04-16,1158290,4397162,15882092,0,0
Germany,DEU,2021-04-17,1180175,4513077,16103819,0,0
Germany,DEU,2021-04-18,1194394,4593387,16273988,0,0
Germany,DEU,2021-04-19,1225915,4670600,16562634,0,0
Germany,DEU,2021-04-20,1263641,4809401,16938549,0,0
Germany,DEU,2021-04-21,1302396,5033282,17385278,0,0
Germany,DEU,2021-04-22,1341652,5244686,17760564,0,0
Germany,DEU,2021-04-23,1381343,5401523,18103298,0,0
